description
"rumah ini memiliki luas area sebesar 7420 meter persegi, 4 kamar tidur, dan 2 kamar mandi. rumah ini terdiri dari 3 lantai. rumah ini berada yes pinggir jalan raya, no memiliki ruang tamu, dan no memiliki basement. rumah ini  no disediakan waterheater dan yes memiliki ac. Tersedia 2 tempat parkir. rumah ini yes berada di lingkungan yang diminati, dan kondisinya adalah furnished.harga rumah ini adalah 13300000"
"rumah ini memiliki luas area sebesar 6360 meter persegi, 2 kamar tidur, dan 1 kamar mandi. rumah ini terdiri dari 1 lantai. rumah ini berada yes pinggir jalan raya, no memiliki ruang tamu, dan no memiliki basement. rumah ini  no disediakan waterheater dan no memiliki ac. Tersedia 0 tempat parkir. rumah ini no berada di lingkungan yang diminati, dan kondisinya adalah furnished.harga rumah ini adalah 4270000"
"rumah ini memiliki luas area sebesar 6360 meter persegi, 2 kamar tidur, dan 1 kamar mandi. rumah ini terdiri dari 2 lantai. rumah ini berada yes pinggir jalan raya, no memiliki ruang tamu, dan no memiliki basement. rumah ini  no disediakan waterheater dan no memiliki ac. Tersedia 0 tempat parkir. rumah ini no berada di lingkungan yang diminati, dan kondisinya adalah unfurnished.harga rumah ini adalah 4270000"
"rumah ini memiliki luas area sebesar 4500 meter persegi, 2 kamar tidur, dan 1 kamar mandi. rumah ini terdiri dari 1 lantai. rumah ini berada yes pinggir jalan raya, no memiliki ruang tamu, dan no memiliki basement. rumah ini  no disediakan waterheater dan yes memiliki ac. Tersedia 2 tempat parkir. rumah ini no berada di lingkungan yang diminati, dan kondisinya adalah furnished.harga rumah ini adalah 4270000"
"rumah ini memiliki luas area sebesar 2175 meter persegi, 3 kamar tidur, dan 1 kamar mandi. rumah ini terdiri dari 2 lantai. rumah ini berada no pinggir jalan raya, yes memiliki ruang tamu, dan yes memiliki basement. rumah ini  no disediakan waterheater dan yes memiliki ac. Tersedia 0 tempat parkir. rumah ini no berada di lingkungan yang diminati, dan kondisinya adalah unfurnished.harga rumah ini adalah 4270000"
"rumah ini memiliki luas area sebesar 4360 meter persegi, 4 kamar tidur, dan 1 kamar mandi. rumah ini terdiri dari 2 lantai. rumah ini berada yes pinggir jalan raya, no memiliki ruang tamu, dan no memiliki basement. rumah ini  no disediakan waterheater dan no memiliki ac. Tersedia 0 tempat parkir. rumah ini no berada di lingkungan yang diminati, dan kondisinya adalah furnished.harga rumah ini adalah 4270000"
"rumah ini memiliki luas area sebesar 7770 meter persegi, 2 kamar tidur, dan 1 kamar mandi. rumah ini terdiri dari 1 lantai. rumah ini berada yes pinggir jalan raya, no memiliki ruang tamu, dan no memiliki basement. rumah ini  no disediakan waterheater dan no memiliki ac. Tersedia 1 tempat parkir. rumah ini no berada di lingkungan yang diminati, dan kondisinya adalah furnished.harga rumah ini adalah 4270000"
"rumah ini memiliki luas area sebesar 6650 meter persegi, 3 kamar tidur, dan 1 kamar mandi. rumah ini terdiri dari 2 lantai. rumah ini berada yes pinggir jalan raya, yes memiliki ruang tamu, dan no memiliki basement. rumah ini  no disediakan waterheater dan no memiliki ac. Tersedia 0 tempat parkir. rumah ini no berada di lingkungan yang diminati, dan kondisinya adalah semi-furnished.harga rumah ini adalah 4235000"
"rumah ini memiliki luas area sebesar 2787 meter persegi, 3 kamar tidur, dan 1 kamar mandi. rumah ini terdiri dari 1 lantai. rumah ini berada yes pinggir jalan raya, no memiliki ruang tamu, dan yes memiliki basement. rumah ini  no disediakan waterheater dan no memiliki ac. Tersedia 0 tempat parkir. rumah ini yes berada di lingkungan yang diminati, dan kondisinya adalah furnished.harga rumah ini adalah 4235000"
"rumah ini memiliki luas area sebesar 5500 meter persegi, 3 kamar tidur, dan 1 kamar mandi. rumah ini terdiri dari 2 lantai. rumah ini berada yes pinggir jalan raya, no memiliki ruang tamu, dan no memiliki basement. rumah ini  no disediakan waterheater dan yes memiliki ac. Tersedia 0 tempat parkir. rumah ini no berada di lingkungan yang diminati, dan kondisinya adalah unfurnished.harga rumah ini adalah 4200000"
"rumah ini memiliki luas area sebesar 5040 meter persegi, 3 kamar tidur, dan 1 kamar mandi. rumah ini terdiri dari 2 lantai. rumah ini berada yes pinggir jalan raya, no memiliki ruang tamu, dan yes memiliki basement. rumah ini  no disediakan waterheater dan yes memiliki ac. Tersedia 0 tempat parkir. rumah ini no berada di lingkungan yang diminati, dan kondisinya adalah unfurnished.harga rumah ini adalah 4200000"
"rumah ini memiliki luas area sebesar 5850 meter persegi, 2 kamar tidur, dan 1 kamar mandi. rumah ini terdiri dari 1 lantai. rumah ini berada yes pinggir jalan raya, yes memiliki ruang tamu, dan yes memiliki basement. rumah ini  no disediakan waterheater dan no memiliki ac. Tersedia 2 tempat parkir. rumah ini no berada di lingkungan yang diminati, dan kondisinya adalah semi-furnished.harga rumah ini adalah 4200000"
"rumah ini memiliki luas area sebesar 2610 meter persegi, 4 kamar tidur, dan 3 kamar mandi. rumah ini terdiri dari 2 lantai. rumah ini berada no pinggir jalan raya, no memiliki ruang tamu, dan no memiliki basement. rumah ini  no disediakan waterheater dan no memiliki ac. Tersedia 0 tempat parkir. rumah ini no berada di lingkungan yang diminati, dan kondisinya adalah semi-furnished.harga rumah ini adalah 4200000"
"rumah ini memiliki luas area sebesar 2953 meter persegi, 3 kamar tidur, dan 1 kamar mandi. rumah ini terdiri dari 2 lantai. rumah ini berada yes pinggir jalan raya, no memiliki ruang tamu, dan yes memiliki basement. rumah ini  no disediakan waterheater dan yes memiliki ac. Tersedia 0 tempat parkir. rumah ini no berada di lingkungan yang diminati, dan kondisinya adalah unfurnished.harga rumah ini adalah 4200000"
"rumah ini memiliki luas area sebesar 2747 meter persegi, 4 kamar tidur, dan 2 kamar mandi. rumah ini terdiri dari 2 lantai. rumah ini berada no pinggir jalan raya, no memiliki ruang tamu, dan no memiliki basement. rumah ini  no disediakan waterheater dan no memiliki ac. Tersedia 0 tempat parkir. rumah ini no berada di lingkungan yang diminati, dan kondisinya adalah semi-furnished.harga rumah ini adalah 4200000"
"rumah ini memiliki luas area sebesar 4410 meter persegi, 2 kamar tidur, dan 1 kamar mandi. rumah ini terdiri dari 1 lantai. rumah ini berada no pinggir jalan raya, no memiliki ruang tamu, dan no memiliki basement. rumah ini  no disediakan waterheater dan no memiliki ac. Tersedia 1 tempat parkir. rumah ini no berada di lingkungan yang diminati, dan kondisinya adalah unfurnished.harga rumah ini adalah 4200000"
"rumah ini memiliki luas area sebesar 4000 meter persegi, 4 kamar tidur, dan 2 kamar mandi. rumah ini terdiri dari 2 lantai. rumah ini berada no pinggir jalan raya, no memiliki ruang tamu, dan no memiliki basement. rumah ini  no disediakan waterheater dan no memiliki ac. Tersedia 0 tempat parkir. rumah ini no berada di lingkungan yang diminati, dan kondisinya adalah semi-furnished.harga rumah ini adalah 4200000"
"rumah ini memiliki luas area sebesar 2325 meter persegi, 3 kamar tidur, dan 1 kamar mandi. rumah ini terdiri dari 2 lantai. rumah ini berada no pinggir jalan raya, no memiliki ruang tamu, dan no memiliki basement. rumah ini  no disediakan waterheater dan no memiliki ac. Tersedia 0 tempat parkir. rumah ini no berada di lingkungan yang diminati, dan kondisinya adalah semi-furnished.harga rumah ini adalah 4200000"
"rumah ini memiliki luas area sebesar 4600 meter persegi, 3 kamar tidur, dan 2 kamar mandi. rumah ini terdiri dari 2 lantai. rumah ini berada yes pinggir jalan raya, no memiliki ruang tamu, dan no memiliki basement. rumah ini  no disediakan waterheater dan yes memiliki ac. Tersedia 1 tempat parkir. rumah ini no berada di lingkungan yang diminati, dan kondisinya adalah semi-furnished.harga rumah ini adalah 4200000"
"rumah ini memiliki luas area sebesar 3640 meter persegi, 3 kamar tidur, dan 2 kamar mandi. rumah ini terdiri dari 2 lantai. rumah ini berada yes pinggir jalan raya, no memiliki ruang tamu, dan yes memiliki basement. rumah ini  no disediakan waterheater dan no memiliki ac. Tersedia 0 tempat parkir. rumah ini no berada di lingkungan yang diminati, dan kondisinya adalah unfurnished.harga rumah ini adalah 4200000"
"rumah ini memiliki luas area sebesar 5800 meter persegi, 3 kamar tidur, dan 1 kamar mandi. rumah ini terdiri dari 1 lantai. rumah ini berada yes pinggir jalan raya, no memiliki ruang tamu, dan no memiliki basement. rumah ini  yes disediakan waterheater dan no memiliki ac. Tersedia 2 tempat parkir. rumah ini no berada di lingkungan yang diminati, dan kondisinya adalah semi-furnished.harga rumah ini adalah 4200000"
"rumah ini memiliki luas area sebesar 7000 meter persegi, 3 kamar tidur, dan 1 kamar mandi. rumah ini terdiri dari 1 lantai. rumah ini berada yes pinggir jalan raya, no memiliki ruang tamu, dan no memiliki basement. rumah ini  no disediakan waterheater dan no memiliki ac. Tersedia 3 tempat parkir. rumah ini no berada di lingkungan yang diminati, dan kondisinya adalah furnished.harga rumah ini adalah 4200000"
"rumah ini memiliki luas area sebesar 4079 meter persegi, 3 kamar tidur, dan 1 kamar mandi. rumah ini terdiri dari 3 lantai. rumah ini berada yes pinggir jalan raya, no memiliki ruang tamu, dan no memiliki basement. rumah ini  no disediakan waterheater dan no memiliki ac. Tersedia 0 tempat parkir. rumah ini no berada di lingkungan yang diminati, dan kondisinya adalah semi-furnished.harga rumah ini adalah 4200000"
"rumah ini memiliki luas area sebesar 3520 meter persegi, 3 kamar tidur, dan 1 kamar mandi. rumah ini terdiri dari 2 lantai. rumah ini berada yes pinggir jalan raya, no memiliki ruang tamu, dan no memiliki basement. rumah ini  no disediakan waterheater dan no memiliki ac. Tersedia 0 tempat parkir. rumah ini yes berada di lingkungan yang diminati, dan kondisinya adalah semi-furnished.harga rumah ini adalah 4200000"
"rumah ini memiliki luas area sebesar 2145 meter persegi, 3 kamar tidur, dan 1 kamar mandi. rumah ini terdiri dari 3 lantai. rumah ini berada yes pinggir jalan raya, no memiliki ruang tamu, dan no memiliki basement. rumah ini  no disediakan waterheater dan no memiliki ac. Tersedia 1 tempat parkir. rumah ini yes berada di lingkungan yang diminati, dan kondisinya adalah unfurnished.harga rumah ini adalah 4200000"
"rumah ini memiliki luas area sebesar 4500 meter persegi, 3 kamar tidur, dan 1 kamar mandi. rumah ini terdiri dari 1 lantai. rumah ini berada yes pinggir jalan raya, no memiliki ruang tamu, dan yes memiliki basement. rumah ini  no disediakan waterheater dan no memiliki ac. Tersedia 0 tempat parkir. rumah ini no berada di lingkungan yang diminati, dan kondisinya adalah furnished.harga rumah ini adalah 4200000"
"rumah ini memiliki luas area sebesar 8250 meter persegi, 3 kamar tidur, dan 1 kamar mandi. rumah ini terdiri dari 1 lantai. rumah ini berada yes pinggir jalan raya, no memiliki ruang tamu, dan yes memiliki basement. rumah ini  no disediakan waterheater dan no memiliki ac. Tersedia 3 tempat parkir. rumah ini no berada di lingkungan yang diminati, dan kondisinya adalah semi-furnished.harga rumah ini adalah 4193000"
"rumah ini memiliki luas area sebesar 3450 meter persegi, 3 kamar tidur, dan 1 kamar mandi. rumah ini terdiri dari 2 lantai. rumah ini berada yes pinggir jalan raya, no memiliki ruang tamu, dan no memiliki basement. rumah ini  no disediakan waterheater dan no memiliki ac. Tersedia 1 tempat parkir. rumah ini no berada di lingkungan yang diminati, dan kondisinya adalah semi-furnished.harga rumah ini adalah 4193000"
"rumah ini memiliki luas area sebesar 4840 meter persegi, 3 kamar tidur, dan 1 kamar mandi. rumah ini terdiri dari 2 lantai. rumah ini berada yes pinggir jalan raya, no memiliki ruang tamu, dan no memiliki basement. rumah ini  no disediakan waterheater dan no memiliki ac. Tersedia 1 tempat parkir. rumah ini no berada di lingkungan yang diminati, dan kondisinya adalah semi-furnished.harga rumah ini adalah 4165000"
"rumah ini memiliki luas area sebesar 4080 meter persegi, 3 kamar tidur, dan 1 kamar mandi. rumah ini terdiri dari 2 lantai. rumah ini berada yes pinggir jalan raya, no memiliki ruang tamu, dan no memiliki basement. rumah ini  no disediakan waterheater dan no memiliki ac. Tersedia 2 tempat parkir. rumah ini no berada di lingkungan yang diminati, dan kondisinya adalah semi-furnished.harga rumah ini adalah 4165000"
"rumah ini memiliki luas area sebesar 4046 meter persegi, 3 kamar tidur, dan 1 kamar mandi. rumah ini terdiri dari 2 lantai. rumah ini berada yes pinggir jalan raya, no memiliki ruang tamu, dan yes memiliki basement. rumah ini  no disediakan waterheater dan no memiliki ac. Tersedia 1 tempat parkir. rumah ini no berada di lingkungan yang diminati, dan kondisinya adalah semi-furnished.harga rumah ini adalah 4165000"
"rumah ini memiliki luas area sebesar 4632 meter persegi, 4 kamar tidur, dan 1 kamar mandi. rumah ini terdiri dari 2 lantai. rumah ini berada yes pinggir jalan raya, no memiliki ruang tamu, dan no memiliki basement. rumah ini  no disediakan waterheater dan yes memiliki ac. Tersedia 0 tempat parkir. rumah ini no berada di lingkungan yang diminati, dan kondisinya adalah semi-furnished.harga rumah ini adalah 4130000"
"rumah ini memiliki luas area sebesar 5985 meter persegi, 3 kamar tidur, dan 1 kamar mandi. rumah ini terdiri dari 1 lantai. rumah ini berada yes pinggir jalan raya, no memiliki ruang tamu, dan yes memiliki basement. rumah ini  no disediakan waterheater dan no memiliki ac. Tersedia 0 tempat parkir. rumah ini no berada di lingkungan yang diminati, dan kondisinya adalah semi-furnished.harga rumah ini adalah 4130000"
"rumah ini memiliki luas area sebesar 6060 meter persegi, 2 kamar tidur, dan 1 kamar mandi. rumah ini terdiri dari 1 lantai. rumah ini berada yes pinggir jalan raya, no memiliki ruang tamu, dan yes memiliki basement. rumah ini  no disediakan waterheater dan no memiliki ac. Tersedia 1 tempat parkir. rumah ini no berada di lingkungan yang diminati, dan kondisinya adalah semi-furnished.harga rumah ini adalah 4123000"
"rumah ini memiliki luas area sebesar 3600 meter persegi, 3 kamar tidur, dan 1 kamar mandi. rumah ini terdiri dari 1 lantai. rumah ini berada yes pinggir jalan raya, no memiliki ruang tamu, dan yes memiliki basement. rumah ini  no disediakan waterheater dan yes memiliki ac. Tersedia 0 tempat parkir. rumah ini yes berada di lingkungan yang diminati, dan kondisinya adalah furnished.harga rumah ini adalah 4098500"
"rumah ini memiliki luas area sebesar 3680 meter persegi, 3 kamar tidur, dan 2 kamar mandi. rumah ini terdiri dari 2 lantai. rumah ini berada yes pinggir jalan raya, no memiliki ruang tamu, dan no memiliki basement. rumah ini  no disediakan waterheater dan no memiliki ac. Tersedia 0 tempat parkir. rumah ini no berada di lingkungan yang diminati, dan kondisinya adalah semi-furnished.harga rumah ini adalah 4095000"
"rumah ini memiliki luas area sebesar 4040 meter persegi, 2 kamar tidur, dan 1 kamar mandi. rumah ini terdiri dari 2 lantai. rumah ini berada yes pinggir jalan raya, no memiliki ruang tamu, dan no memiliki basement. rumah ini  no disediakan waterheater dan no memiliki ac. Tersedia 1 tempat parkir. rumah ini no berada di lingkungan yang diminati, dan kondisinya adalah semi-furnished.harga rumah ini adalah 4095000"
"rumah ini memiliki luas area sebesar 5600 meter persegi, 2 kamar tidur, dan 1 kamar mandi. rumah ini terdiri dari 1 lantai. rumah ini berada yes pinggir jalan raya, no memiliki ruang tamu, dan no memiliki basement. rumah ini  no disediakan waterheater dan yes memiliki ac. Tersedia 0 tempat parkir. rumah ini no berada di lingkungan yang diminati, dan kondisinya adalah semi-furnished.harga rumah ini adalah 4095000"
"rumah ini memiliki luas area sebesar 5900 meter persegi, 4 kamar tidur, dan 2 kamar mandi. rumah ini terdiri dari 2 lantai. rumah ini berada no pinggir jalan raya, no memiliki ruang tamu, dan yes memiliki basement. rumah ini  no disediakan waterheater dan no memiliki ac. Tersedia 1 tempat parkir. rumah ini no berada di lingkungan yang diminati, dan kondisinya adalah unfurnished.harga rumah ini adalah 4060000"
"rumah ini memiliki luas area sebesar 4992 meter persegi, 3 kamar tidur, dan 2 kamar mandi. rumah ini terdiri dari 2 lantai. rumah ini berada yes pinggir jalan raya, no memiliki ruang tamu, dan no memiliki basement. rumah ini  no disediakan waterheater dan no memiliki ac. Tersedia 2 tempat parkir. rumah ini no berada di lingkungan yang diminati, dan kondisinya adalah unfurnished.harga rumah ini adalah 4060000"
"rumah ini memiliki luas area sebesar 4340 meter persegi, 3 kamar tidur, dan 1 kamar mandi. rumah ini terdiri dari 1 lantai. rumah ini berada yes pinggir jalan raya, no memiliki ruang tamu, dan no memiliki basement. rumah ini  no disediakan waterheater dan no memiliki ac. Tersedia 0 tempat parkir. rumah ini no berada di lingkungan yang diminati, dan kondisinya adalah semi-furnished.harga rumah ini adalah 4060000"
"rumah ini memiliki luas area sebesar 3000 meter persegi, 4 kamar tidur, dan 1 kamar mandi. rumah ini terdiri dari 3 lantai. rumah ini berada yes pinggir jalan raya, no memiliki ruang tamu, dan yes memiliki basement. rumah ini  no disediakan waterheater dan yes memiliki ac. Tersedia 2 tempat parkir. rumah ini no berada di lingkungan yang diminati, dan kondisinya adalah semi-furnished.harga rumah ini adalah 4060000"
"rumah ini memiliki luas area sebesar 4320 meter persegi, 3 kamar tidur, dan 1 kamar mandi. rumah ini terdiri dari 2 lantai. rumah ini berada yes pinggir jalan raya, no memiliki ruang tamu, dan no memiliki basement. rumah ini  no disediakan waterheater dan no memiliki ac. Tersedia 2 tempat parkir. rumah ini yes berada di lingkungan yang diminati, dan kondisinya adalah furnished.harga rumah ini adalah 4060000"
"rumah ini memiliki luas area sebesar 3630 meter persegi, 3 kamar tidur, dan 2 kamar mandi. rumah ini terdiri dari 2 lantai. rumah ini berada yes pinggir jalan raya, no memiliki ruang tamu, dan no memiliki basement. rumah ini  yes disediakan waterheater dan no memiliki ac. Tersedia 2 tempat parkir. rumah ini no berada di lingkungan yang diminati, dan kondisinya adalah semi-furnished.harga rumah ini adalah 4025000"
"rumah ini memiliki luas area sebesar 3460 meter persegi, 3 kamar tidur, dan 2 kamar mandi. rumah ini terdiri dari 1 lantai. rumah ini berada yes pinggir jalan raya, no memiliki ruang tamu, dan yes memiliki basement. rumah ini  no disediakan waterheater dan yes memiliki ac. Tersedia 1 tempat parkir. rumah ini no berada di lingkungan yang diminati, dan kondisinya adalah furnished.harga rumah ini adalah 4025000"
"rumah ini memiliki luas area sebesar 5400 meter persegi, 3 kamar tidur, dan 1 kamar mandi. rumah ini terdiri dari 1 lantai. rumah ini berada yes pinggir jalan raya, no memiliki ruang tamu, dan no memiliki basement. rumah ini  no disediakan waterheater dan no memiliki ac. Tersedia 3 tempat parkir. rumah ini no berada di lingkungan yang diminati, dan kondisinya adalah semi-furnished.harga rumah ini adalah 4025000"
"rumah ini memiliki luas area sebesar 4500 meter persegi, 3 kamar tidur, dan 1 kamar mandi. rumah ini terdiri dari 2 lantai. rumah ini berada no pinggir jalan raya, no memiliki ruang tamu, dan yes memiliki basement. rumah ini  no disediakan waterheater dan yes memiliki ac. Tersedia 0 tempat parkir. rumah ini no berada di lingkungan yang diminati, dan kondisinya adalah semi-furnished.harga rumah ini adalah 4007500"
"rumah ini memiliki luas area sebesar 3460 meter persegi, 4 kamar tidur, dan 1 kamar mandi. rumah ini terdiri dari 2 lantai. rumah ini berada yes pinggir jalan raya, no memiliki ruang tamu, dan no memiliki basement. rumah ini  no disediakan waterheater dan yes memiliki ac. Tersedia 0 tempat parkir. rumah ini no berada di lingkungan yang diminati, dan kondisinya adalah semi-furnished.harga rumah ini adalah 4007500"
"rumah ini memiliki luas area sebesar 4100 meter persegi, 4 kamar tidur, dan 1 kamar mandi. rumah ini terdiri dari 1 lantai. rumah ini berada no pinggir jalan raya, no memiliki ruang tamu, dan yes memiliki basement. rumah ini  no disediakan waterheater dan no memiliki ac. Tersedia 0 tempat parkir. rumah ini no berada di lingkungan yang diminati, dan kondisinya adalah unfurnished.harga rumah ini adalah 3990000"
"rumah ini memiliki luas area sebesar 6480 meter persegi, 3 kamar tidur, dan 1 kamar mandi. rumah ini terdiri dari 2 lantai. rumah ini berada no pinggir jalan raya, no memiliki ruang tamu, dan no memiliki basement. rumah ini  no disediakan waterheater dan yes memiliki ac. Tersedia 1 tempat parkir. rumah ini no berada di lingkungan yang diminati, dan kondisinya adalah semi-furnished.harga rumah ini adalah 3990000"
"rumah ini memiliki luas area sebesar 4500 meter persegi, 3 kamar tidur, dan 2 kamar mandi. rumah ini terdiri dari 2 lantai. rumah ini berada no pinggir jalan raya, no memiliki ruang tamu, dan yes memiliki basement. rumah ini  no disediakan waterheater dan yes memiliki ac. Tersedia 0 tempat parkir. rumah ini no berada di lingkungan yang diminati, dan kondisinya adalah semi-furnished.harga rumah ini adalah 3990000"
"rumah ini memiliki luas area sebesar 3960 meter persegi, 3 kamar tidur, dan 1 kamar mandi. rumah ini terdiri dari 2 lantai. rumah ini berada yes pinggir jalan raya, no memiliki ruang tamu, dan no memiliki basement. rumah ini  no disediakan waterheater dan no memiliki ac. Tersedia 0 tempat parkir. rumah ini no berada di lingkungan yang diminati, dan kondisinya adalah furnished.harga rumah ini adalah 3990000"
"rumah ini memiliki luas area sebesar 4050 meter persegi, 2 kamar tidur, dan 1 kamar mandi. rumah ini terdiri dari 2 lantai. rumah ini berada yes pinggir jalan raya, yes memiliki ruang tamu, dan yes memiliki basement. rumah ini  no disediakan waterheater dan no memiliki ac. Tersedia 0 tempat parkir. rumah ini yes berada di lingkungan yang diminati, dan kondisinya adalah unfurnished.harga rumah ini adalah 3990000"
"rumah ini memiliki luas area sebesar 7260 meter persegi, 3 kamar tidur, dan 2 kamar mandi. rumah ini terdiri dari 1 lantai. rumah ini berada yes pinggir jalan raya, yes memiliki ruang tamu, dan yes memiliki basement. rumah ini  no disediakan waterheater dan no memiliki ac. Tersedia 3 tempat parkir. rumah ini no berada di lingkungan yang diminati, dan kondisinya adalah furnished.harga rumah ini adalah 3920000"
"rumah ini memiliki luas area sebesar 5500 meter persegi, 4 kamar tidur, dan 1 kamar mandi. rumah ini terdiri dari 2 lantai. rumah ini berada yes pinggir jalan raya, yes memiliki ruang tamu, dan yes memiliki basement. rumah ini  no disediakan waterheater dan no memiliki ac. Tersedia 0 tempat parkir. rumah ini no berada di lingkungan yang diminati, dan kondisinya adalah semi-furnished.harga rumah ini adalah 3920000"
"rumah ini memiliki luas area sebesar 3000 meter persegi, 3 kamar tidur, dan 1 kamar mandi. rumah ini terdiri dari 2 lantai. rumah ini berada yes pinggir jalan raya, no memiliki ruang tamu, dan no memiliki basement. rumah ini  no disediakan waterheater dan no memiliki ac. Tersedia 0 tempat parkir. rumah ini no berada di lingkungan yang diminati, dan kondisinya adalah semi-furnished.harga rumah ini adalah 3920000"
"rumah ini memiliki luas area sebesar 3290 meter persegi, 2 kamar tidur, dan 1 kamar mandi. rumah ini terdiri dari 1 lantai. rumah ini berada yes pinggir jalan raya, no memiliki ruang tamu, dan no memiliki basement. rumah ini  yes disediakan waterheater dan no memiliki ac. Tersedia 1 tempat parkir. rumah ini no berada di lingkungan yang diminati, dan kondisinya adalah furnished.harga rumah ini adalah 3920000"
"rumah ini memiliki luas area sebesar 3816 meter persegi, 2 kamar tidur, dan 1 kamar mandi. rumah ini terdiri dari 1 lantai. rumah ini berada yes pinggir jalan raya, no memiliki ruang tamu, dan yes memiliki basement. rumah ini  no disediakan waterheater dan yes memiliki ac. Tersedia 2 tempat parkir. rumah ini no berada di lingkungan yang diminati, dan kondisinya adalah furnished.harga rumah ini adalah 3920000"
"rumah ini memiliki luas area sebesar 8080 meter persegi, 3 kamar tidur, dan 1 kamar mandi. rumah ini terdiri dari 1 lantai. rumah ini berada yes pinggir jalan raya, no memiliki ruang tamu, dan no memiliki basement. rumah ini  no disediakan waterheater dan yes memiliki ac. Tersedia 2 tempat parkir. rumah ini no berada di lingkungan yang diminati, dan kondisinya adalah semi-furnished.harga rumah ini adalah 3920000"
"rumah ini memiliki luas area sebesar 2145 meter persegi, 4 kamar tidur, dan 2 kamar mandi. rumah ini terdiri dari 1 lantai. rumah ini berada yes pinggir jalan raya, no memiliki ruang tamu, dan yes memiliki basement. rumah ini  no disediakan waterheater dan no memiliki ac. Tersedia 0 tempat parkir. rumah ini yes berada di lingkungan yang diminati, dan kondisinya adalah unfurnished.harga rumah ini adalah 3920000"
"rumah ini memiliki luas area sebesar 3780 meter persegi, 2 kamar tidur, dan 1 kamar mandi. rumah ini terdiri dari 2 lantai. rumah ini berada yes pinggir jalan raya, yes memiliki ruang tamu, dan yes memiliki basement. rumah ini  no disediakan waterheater dan no memiliki ac. Tersedia 0 tempat parkir. rumah ini no berada di lingkungan yang diminati, dan kondisinya adalah semi-furnished.harga rumah ini adalah 3885000"
"rumah ini memiliki luas area sebesar 3180 meter persegi, 4 kamar tidur, dan 2 kamar mandi. rumah ini terdiri dari 2 lantai. rumah ini berada yes pinggir jalan raya, no memiliki ruang tamu, dan no memiliki basement. rumah ini  no disediakan waterheater dan no memiliki ac. Tersedia 0 tempat parkir. rumah ini no berada di lingkungan yang diminati, dan kondisinya adalah furnished.harga rumah ini adalah 3885000"
"rumah ini memiliki luas area sebesar 5300 meter persegi, 5 kamar tidur, dan 2 kamar mandi. rumah ini terdiri dari 2 lantai. rumah ini berada yes pinggir jalan raya, no memiliki ruang tamu, dan no memiliki basement. rumah ini  no disediakan waterheater dan no memiliki ac. Tersedia 0 tempat parkir. rumah ini no berada di lingkungan yang diminati, dan kondisinya adalah semi-furnished.harga rumah ini adalah 3850000"
"rumah ini memiliki luas area sebesar 3180 meter persegi, 2 kamar tidur, dan 2 kamar mandi. rumah ini terdiri dari 1 lantai. rumah ini berada yes pinggir jalan raya, no memiliki ruang tamu, dan yes memiliki basement. rumah ini  no disediakan waterheater dan no memiliki ac. Tersedia 2 tempat parkir. rumah ini no berada di lingkungan yang diminati, dan kondisinya adalah semi-furnished.harga rumah ini adalah 3850000"
"rumah ini memiliki luas area sebesar 7152 meter persegi, 3 kamar tidur, dan 1 kamar mandi. rumah ini terdiri dari 2 lantai. rumah ini berada yes pinggir jalan raya, no memiliki ruang tamu, dan no memiliki basement. rumah ini  no disediakan waterheater dan yes memiliki ac. Tersedia 0 tempat parkir. rumah ini no berada di lingkungan yang diminati, dan kondisinya adalah furnished.harga rumah ini adalah 3850000"
"rumah ini memiliki luas area sebesar 4080 meter persegi, 2 kamar tidur, dan 1 kamar mandi. rumah ini terdiri dari 1 lantai. rumah ini berada yes pinggir jalan raya, no memiliki ruang tamu, dan no memiliki basement. rumah ini  no disediakan waterheater dan no memiliki ac. Tersedia 0 tempat parkir. rumah ini no berada di lingkungan yang diminati, dan kondisinya adalah semi-furnished.harga rumah ini adalah 3850000"
"rumah ini memiliki luas area sebesar 3850 meter persegi, 2 kamar tidur, dan 1 kamar mandi. rumah ini terdiri dari 1 lantai. rumah ini berada yes pinggir jalan raya, no memiliki ruang tamu, dan no memiliki basement. rumah ini  no disediakan waterheater dan no memiliki ac. Tersedia 0 tempat parkir. rumah ini no berada di lingkungan yang diminati, dan kondisinya adalah semi-furnished.harga rumah ini adalah 3850000"
"rumah ini memiliki luas area sebesar 2015 meter persegi, 3 kamar tidur, dan 1 kamar mandi. rumah ini terdiri dari 2 lantai. rumah ini berada yes pinggir jalan raya, no memiliki ruang tamu, dan yes memiliki basement. rumah ini  no disediakan waterheater dan no memiliki ac. Tersedia 0 tempat parkir. rumah ini yes berada di lingkungan yang diminati, dan kondisinya adalah semi-furnished.harga rumah ini adalah 3850000"
"rumah ini memiliki luas area sebesar 2176 meter persegi, 2 kamar tidur, dan 1 kamar mandi. rumah ini terdiri dari 2 lantai. rumah ini berada yes pinggir jalan raya, yes memiliki ruang tamu, dan no memiliki basement. rumah ini  no disediakan waterheater dan no memiliki ac. Tersedia 0 tempat parkir. rumah ini yes berada di lingkungan yang diminati, dan kondisinya adalah semi-furnished.harga rumah ini adalah 3850000"
